t,pos_cmd,pos_fbk,vel_fbk,samples_consumed
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1372
1267,2830,2805,1455,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1268,2833,2808,1450,1373
1269,2833,2808,1450,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1374
1269,2836,2811,1447,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1270,2839,2814,1445,1375
1271,2839,2814,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1376
1271,2842,2817,1445,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
1272,2845,2820,1444,1377
