freq_hz,H_real,H_imag,mag_A_per_V,mag_db,phase_deg_raw,input_amp_V,output_amp_A,input_offset_V,output_offset_A,input_fit_quality,output_fit_quality,cycles_total,cycles_used,n_samples,t_start,t_end,phase_deg
123.0,-0.04268165717748773,-0.05969585430316344,0.0733847319297489,-22.687885757646313,-125.56420994971987,0.011944827662063723,0.0008765679759275954,-0.6696651423785803,0.09705985917627491,0.00016426182939022205,3.2577540079126166e-05,1654.1845597109998,1651.1527967939999,1326,1.528629901,14.952636379,234.43579005028022
126.0,-0.1703176025774975,-0.08062686412873593,0.1884377270266759,-14.496642858971736,-154.66753458538616,0.036944845474387915,0.006961802706545434,-0.6677953106869184,0.10031109328841532,0.0013914401410620725,0.0018641629973887852,1694.110678596,1690.7332661100002,824,1.53768989,14.956207875,205.3324654146139
129.0,-0.24117193067982812,0.04216367459655179,0.24482989115571596,-12.222711209982416,170.08330106436512,0.012900511689175227,0.003158430872713812,-0.7119776457717681,0.10266266706677399,0.0002088817552531319,0.0004574014173698293,1736.9995926090003,1733.6468061120001,1687,1.526989216,14.966111744,170.08330106436517
132.0,0.038562963733183964,0.27211137630881327,0.27483031726606044,-11.218707215720837,81.93389454294967,0.007242150354151014,0.0019903624795198356,-0.7443629148300647,0.10737289550262928,7.628396958847539e-05,0.00017920358891032606,1765.831589676,1761.416988012,1355,1.542409799,14.88647789,81.93389454294973
135.0,-0.10249366616283559,-0.0015014522668359196,0.10250466312518848,-19.785127546121075,-179.16072155223338,0.035511653796019935,0.0036401101093793443,-0.7235202690176366,0.10417523262637075,0.0014266346626315984,0.0005321727382814334,1816.010486685,1812.91513932,1257,1.529785351,14.958786383,180.83927844776667
138.0,-0.07796816101448166,0.03911551891990393,0.0872299143204526,-21.186691081991604,153.35772974398125,0.021874292810536013,0.0019080926876835487,-0.7463020251280347,0.10666520379170089,0.0005386550335606533,0.00015974235705362716,1850.28203178,1847.26744593,1298,1.522361305,14.90835729,153.3577297439813
141.0,-0.09806047316047496,0.0788052312844044,0.12580191125036494,-18.00625521610089,141.21327968998958,0.022884861537484452,0.00287895932011551,-0.6988173998156815,0.09945937515536836,0.0005613467058701582,0.0003163617936697838,1897.688362251,1894.5937347179997,1273,1.526119596,14.962954594,141.2132796899896
144.0,-0.09815334321520659,0.05518174211094419,0.11260152506392128,-18.9691145480664,150.65533536295442,0.028399226375060184,0.0031977962004673135,-0.7315281621319911,0.10540816271597653,0.0009895557302880276,0.00044372669559689104,1936.356391296,1932.9008065920002,1094,1.532195342,14.95511761,150.65533536295447
146.0,0.07003270508771392,-0.02092474898309393,0.07309189354441573,-22.722615739680293,-16.635376924156194,0.018324091274913957,0.001339342528764168,-0.7327144206482568,0.10319013232500356,0.0003720294781072164,7.397861451263754e-05,1962.312225908,1958.939839944,1096,1.523324554,14.940720718,-16.635376924156144
149.0,0.06442816240422274,-0.08065661262469134,0.10323021491246843,-19.723863370227384,-51.38228737466466,0.014583314288841851,0.001505438668173216,-0.7171870183975483,0.10237214681984103,0.00020419563713069966,7.779090947979128e-05,2003.85570847,2000.7303173990001,774,1.523131111,14.950851362,-51.38228737466461
152.0,-0.2031083378888722,-0.06870915052369866,0.21441535459399488,-13.374882348179503,-161.3099293295766,0.023496460210510495,0.005038001847740299,-0.7619418040483511,0.1067108516832549,0.0006638666004147309,0.0010197631501092097,2045.237535352,2041.8733631280002,1163,1.52322787,14.956605259,-161.30992932957653
155.0,-0.038428986020874495,-0.046336766202651807,0.060198694908708626,-24.4082584805213,-129.67031379058184,0.023216404905540517,0.0013975972757856799,-0.7808342063506503,0.1122083287713635,0.0007268389045552714,9.822852370522384e-05,2086.04870966,2082.87190313,957,1.521300484,14.95918373,-129.6703137905818
158.0,-0.21211446492149819,-0.052371149850212705,0.21848405792086276,-13.211604932185885,-166.13102442126748,0.050226072231443715,0.010973596074552186,-0.7553276744991758,0.1068160572093411,0.0027467813971366883,0.004934670758587334,2127.0177408,2123.368383042,881,1.523516589,14.962556988,-166.13102442126745
161.0,-0.14857723253981756,-0.12139505262663242,0.19186441262363868,-14.340111431235243,-140.74945379707216,0.023064445593857032,0.004425246306355251,-0.7953526258751421,0.11243944950424983,0.0006374796813276573,0.0008908524993763711,2162.962059111,2159.25906539,838,1.52361331,14.9351603,-140.7494537970721
164.0,-0.15341469173779665,-0.00042563144550512237,0.15341528216944547,-16.282627536386574,-179.84103984690648,0.02491600270819267,0.0038224955860120457,-0.7352500443821441,0.10665930943850209,0.0006932762689241256,0.000623854016465919,2206.254502056,2202.9248874639998,624,1.522746634,14.95521546,-179.84103984690645
167.0,-0.05217221304316902,-0.1354747408383172,0.14517350040221194,-16.76225302800857,-111.06202328566023,0.04142752337860932,0.006014178581867184,-0.7468477026058148,0.10676269820277727,0.001953730031286627,0.0014876222977834308,2248.5159203959997,2245.077336789,631,1.523421367,14.966998234,-111.06202328566017
169.0,-0.1287475577630076,0.017707833809592344,0.12995961298867859,-17.723831812520103,172.16872018136618,0.08159499346606937,0.010604053772664133,-0.7060468802349485,0.09851663640587889,0.006019145161138328,0.004411349636155415,2263.183268944,2259.180130116,492,1.528051315,14.895981079,-187.83127981863376
172.0,-0.1709562675023684,0.0008039242685286254,0.17095815772454634,-15.34220341706395,179.73056777160977,0.13817377460761163,0.023621933952763987,-0.6700963170462315,0.09550449798460532,0.012536057348418894,0.017084094902047098,2312.21062344,2305.3809984560003,162,1.555705963,14.959083861,-180.26943222839017
175.0,-0.08397945544907853,0.02206392468501521,0.08682952095934764,-21.22665189968596,165.27936677653486,0.0699493723616577,0.006073670493569769,-0.7069710125734257,0.10011126850519046,0.004403038650923841,0.0013481865647793079,2353.1531201499997,2349.37963155,802,1.526023116,14.951049582,-194.7206332234651
178.0,0.0006535809326433834,-0.0031903560220872115,0.0032566147428246916,-49.74467230774237,-78.42249264273823,0.024904302686401956,8.110371928830517e-05,-0.7150422073490857,0.09811145835430943,0.0005257926546295977,2.3199551879571345e-07,2386.611644486,2375.3488984739997,385,1.563403505,14.908060238,-78.42249264273818
181.0,-0.16770550991988636,0.07224525882534283,0.18260480683768945,-14.769755888103706,156.69427799868654,0.043708657507923916,0.007981410961369173,-0.6750176555495987,0.09509115988566717,0.0013382694779477955,0.0021890998101317116,2432.689408837,2382.140471661,363,1.787569936,14.948567017,-203.3057220013134
184.0,-0.1579726703648044,-0.018576343901301154,0.1590611364693669,-15.968718377988198,-173.29326703917005,0.08798674864262389,0.013995272233340279,-0.7280103222624539,0.09784649941230024,0.0059860075924086376,0.007227416668465936,2469.46750152,2388.4380845759997,313,1.986062195,14.966703959,-173.29326703917002
187.0,-0.13108863289513564,0.019625001670047094,0.13254950156400058,-17.552438020769564,171.4856038845918,0.065986438780592,0.00874646957035091,-0.5562521471756403,0.07688492662707007,0.0026218238352496703,0.0023035699806959187,2493.8638653609996,2488.746730976,286,1.534315762,14.84312181,-188.5143961154082
190.0,-0.10339680292802372,0.04250850010793882,0.11179387924731483,-19.031639471368273,157.65145291461565,0.0370747956764814,0.0041447352309754324,-0.6150695513865864,0.08272175519820492,0.0009055147065748503,0.0005714060367398854,2545.2056668100004,2541.1834511700004,277,1.523903825,14.898553568,-202.34854708538435
192.0,-0.15894949443825188,0.009686801531897153,0.15924439050118602,-15.958717141207172,176.51255723106468,0.06471327570309833,0.010305226146675103,-0.594219209279707,0.08422089602552171,0.0021865922158970097,0.002776978818608722,2561.4020517120002,2556.356114304,233,1.527182788,14.84153755,-183.48744276893532
195.0,-0.1188730325163309,-0.07089938103441325,0.13841069355613958,-17.176607103218743,-149.18690375121622,0.057089696318874096,0.007901824462404753,-0.4987602662083683,0.07228238735151489,0.0016540185797222495,0.001723871119211684,2625.35949585,2616.34487127,168,1.549156704,14.96630989,-149.18690375121622
198.0,-0.15814398711696057,-0.015999724584459158,0.15895128765765926,-15.974718990674525,-174.2229355817818,0.0616025845285921,0.009791810133859512,-0.5577454378538402,0.07813221373928736,0.0017192185926373504,0.002278693073367255,2660.550085314,2654.4107949480003,287,1.534507815,14.940622941,-174.2229355817818
201.0,-0.301859351287077,-0.002261195879491415,0.3018678203556325,-10.403663621409883,-179.57081151609415,0.019137224825939304,0.005776912345861996,-0.4906134951924133,0.061785996609508245,0.0001572868245963699,0.0007604271263733642,2703.466581696,2699.676550218,239,1.520914748,14.952141366,-179.57081151609415
204.0,-0.18041332496342913,-0.03568595417329487,0.18390882292488955,-14.707948704452228,-168.81126059037976,0.13270207884970875,0.024405083120935818,-0.4784521893881817,0.06770322038265895,0.007684097045808969,0.014749821256590856,2717.695255056,2711.918429976,216,1.557333148,14.851050942,-168.81126059037976
207.0,-0.12605293200717999,0.0010389733077630298,0.12605721372908807,-17.988645928256176,179.52775840585034,0.1662036939593671,0.02095117457199988,-0.35504006319164527,0.04736571762129724,0.00988143545617537,0.008135583513785183,2768.9976298079996,2761.619118327,243,1.541062852,14.882218013,-180.47224159414966
210.0,-0.16619260397843522,0.023859784565334944,0.16789660787710153,-15.499161562067904,171.83003951869696,0.045958880148445784,0.007716340078754308,-0.27590994749176173,0.03678105849914956,0.0007482156271849671,0.0011541025992570786,2762.13157227,2756.99099025,190,1.552722423,14.681250948,-188.16996048130304
213.0,-0.11343668817640713,0.008420743386184405,0.11374880721839414,-18.881062974065003,175.75455036165656,0.10283501880888865,0.01169736072979221,-0.38375568310657154,0.04837317931456697,0.0038911790646806166,0.0025970031411571837,2814.184774596,2810.4560509109997,179,1.520143275,14.714772622,-184.24544963834344
215.0,-0.043672173973370546,0.00816810593124589,0.04442945795375404,-27.04657970373066,169.4062355941803,0.05173982263648258,0.002298772274362294,-0.36507579965662734,0.04622694868949852,0.0009713991816333589,9.400308404095004e-05,2817.039906065,2810.76092244,172,1.544432517,14.617739133,-190.5937644058197
218.0,-0.14785258169510498,0.006613807992011652,0.1480004336820095,-16.594740240016034,177.43872694693945,0.1795493485057319,0.026573381446170583,-0.13230719998285406,0.01733293299873209,0.009066456375341647,0.009703239406934294,2921.819595676,2877.6752675519997,119,1.72032633,14.920671594,-182.56127305306055
221.0,-0.1281313938969379,0.006459068580487317,0.12829409054551066,-17.8358669508463,177.1141781712471,0.12008301867240366,0.015405941670535604,-0.34708591164236713,0.044169449253645174,0.0042980837135326855,0.0034508785586138124,2897.287326063,2835.8844845109998,195,1.787766026,14.619822517,-182.8858218287529
224.0,-0.14110761670586172,0.026617973821121806,0.14359622565635322,-16.85713950245387,169.31748122021227,0.12478567697073388,0.017918752228970297,-0.24087562991789885,0.028748686966775423,0.004360263499174288,0.0047805750389773305,2976.650510848,2937.033006656,159,1.735722211,14.847476705,-190.68251877978773
227.0,-0.14314230491370752,-0.001736474816235801,0.1431528372083356,-16.884000801717576,-179.30497278132614,0.19931428835247517,0.028532405873817137,-0.1289678589483172,0.016173083028739904,0.011051165845992084,0.011347118960662095,3053.4186381560003,2941.010938094,146,2.00050992,14.956505242,-179.30497278132614
230.0,-0.0834896708145349,0.04615637476610663,0.09539882632542543,-20.409139366196246,151.06445592889014,0.10721729330311003,0.010228403942905593,-0.23168033427433946,0.0282917905684028,0.0032944231605611662,0.0017621077398765062,2957.65817418,2897.61780463,98,2.27379068,14.872128961,-208.93554407110983
233.0,-0.19251241098596727,0.007354217148344558,0.19265282996492675,-14.304492141104248,177.81229267268375,0.18987345195573907,0.03657965785448269,0.18180431692561658,-0.02935627958839546,0.010627155667164545,0.019240748725084744,3005.014775193,3000.0080632709996,111,1.529303875,14.404874962,-182.18770732731625
236.0,-0.2526556647772602,-0.010215249971927857,0.2528620894401299,-11.942325554757716,-177.6847061919058,0.08303091626112753,0.020995370973917165,-0.008814582332792368,0.007058869399717813,0.0020433777454483826,0.006951962961814551,3046.233007516,2975.418259404,86,2.02949296,14.637197449,-177.6847061919058
238.0,-0.21379852523657727,-0.007542717181597929,0.21393153572069953,-13.394503824232595,-177.97946830610923,0.15862242324030837,0.03393433860353795,0.13900249598508552,-0.024530009822483583,0.007297807269170731,0.0182477925345923,3034.550041166,3020.44994013,83,2.274752058,14.965718193,-177.97946830610923
241.0,-0.08893184778842163,-0.0489796401435934,0.1015277237982754,-19.868307007515902,-151.1560148193798,0.22900090710410415,0.02324994084602001,0.41029299333625263,-0.05244625150302707,0.01862127739257957,0.010703116092657394,3103.225633792,3061.107399896,55,2.230992038,14.932682494,-151.1560148193798
244.0,-0.12163478553477698,0.02180947793656531,0.12357457011843788,-18.161417833085572,169.83471467152194,0.43108690876250405,0.0532713794340127,0.41066450679322636,-0.04949909394733734,0.06610160931994802,0.062470777424898816,3095.4383224519997,3055.562859132,62,2.219169506,14.741968109,-190.1652853284781
