host_time_s,frame,t,dt,ia_mA,ib_mA,ic_mA,id_mA,iq_mA,vd_mV,vq_mV,theta_mrad,adc_a,adc_b,adc_c,flags,crc,pad
0.124173996,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.124721991,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.125270449,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.125818444,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.126366568,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.126914471,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.127462577,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.128010572,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.128558659,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.129107876,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.129656779,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.130205459,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.130754379,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.131303023,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.131851591,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.132400309,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.132948785,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.133498298,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.134046812,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.134595529,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.135144024,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.135715000,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.136265421,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.136814268,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.137363189,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.137911869,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.138460289,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.139008914,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.139557409,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.140106070,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.140654547,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.141203986,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.141752759,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.142301458,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.142850175,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.143398614,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.143947276,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.144495808,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.145044451,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.145593334,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.146141959,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.146690398,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.147239152,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.147787814,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.148336494,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.148885119,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.149434225,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.150013830,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.150566714,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.151123894,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.151678519,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.152228032,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.152776805,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.153326985,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.153875832,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.154424512,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.154973007,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.155521687,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.156070311,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.156618973,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.157167820,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.157716889,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.158265976,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.158814730,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.159363188,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.159911794,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.160460289,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.161008895,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.161559723,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.162108755,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.162658232,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.163207023,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.163755407,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.164304068,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.164852508,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.165401928,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.165950405,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.166499844,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.167048450,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.167596760,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.168145421,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.168693861,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.169250911,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.169802406,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.170351994,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.170900488,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.171449243,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.171997812,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.172546566,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.173095746,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.173644722,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.174193291,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.174742027,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.175290540,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.175839257,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.176387715,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.176936192,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.177485150,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.178033441,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.178612472,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.179171190,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.179720721,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.180269476,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.180818359,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.181367614,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.181915905,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.182463937,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.183012117,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.183560056,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.184108199,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.184656139,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.185205374,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.185754221,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.186303160,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.186851803,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.187400669,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.187949404,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.188498010,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.189046783,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.189596000,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.190144828,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.190693379,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.191242318,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.191790887,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.192339678,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.192888284,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.193437594,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.193986200,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.194534991,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.195083579,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.195632518,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.196181050,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.196729934,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.197278910,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.197827109,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.198376067,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.198924321,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.199472575,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.200020589,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.200568769,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.201116967,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.201665333,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
0.202213328,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0,0
